Region,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075
SEOUL,50631.0367647059,50974.03431372554,51317.03186274518,51660.0294117647,52003.02696078434,52346.024509803974,52689.02205882361,53032.01960784313,53375.01715686277,53718.01470588241,54061.012254902045,54404.009803921566,54747.007352941204,55090.00490196084,55433.00245098048,55776.0,56118.99754901964,56461.995098039275,56804.99264705891,57147.990196078434,57490.98774509807,57833.98529411771,58176.982843137346,58519.98039215687,58862.977941176505,59205.97549019614,59548.97303921566,59891.9705882353,60234.96813725494,60577.965686274576,60920.9632352941,61263.960784313735,61606.95833333337,61949.95588235301,62292.95343137253,62635.95098039217,62978.948529411806,63321.94607843144,63664.943627450964,64007.9411764706,64350.93872549024,64693.93627450988,65036.9338235294,65379.931372549036,65722.92892156867,66065.92647058831,66408.92401960783,66751.92156862747,67094.9191176471,67437.91666666674,67780.91421568627,68123.9117647059
BUSAN,8461.925245897059,8489.141340735288,8516.357435573525,8543.573530411762,8570.78962525,8598.005720088237,8625.221814926466,8652.437909764703,8679.65400460294,8706.870099441177,8734.086194279407,8761.302289117644,8788.518383955881,8815.734478794118,8842.950573632348,8870.166668470585,8897.382763308822,8924.59885814706,8951.814952985289,8979.031047823526,9006.247142661763,9033.4632375,9060.67933233823,9087.895427176467,9115.111522014704,9142.327616852941,9169.543711691178,9196.759806529408,9223.975901367645,9251.191996205882,9278.408091044119,9305.624185882349,9332.840280720586,9360.056375558823,9387.27247039706,9414.48856523529,9441.704660073527,9468.920754911764,9496.13684975,9523.35294458823,9550.569039426467,9577.785134264705,9605.001229102942,9632.217323941171,9659.433418779408,9686.649513617645,9713.865608455882,9741.08170329412,9768.29779813235,9795.513892970586,9822.729987808823,9849.94608264706
DAEGU,8461.925245897059,8489.141340735288,8516.357435573525,8543.573530411762,8570.78962525,8598.005720088237,8625.221814926466,8652.437909764703,8679.65400460294,8706.870099441177,8734.086194279407,8761.302289117644,8788.518383955881,8815.734478794118,8842.950573632348,8870.166668470585,8897.382763308822,8924.59885814706,8951.814952985289,8979.031047823526,9006.247142661763,9033.4632375,9060.67933233823,9087.895427176467,9115.111522014704,9142.327616852941,9169.543711691178,9196.759806529408,9223.975901367645,9251.191996205882,9278.408091044119,9305.624185882349,9332.840280720586,9360.056375558823,9387.27247039706,9414.48856523529,9441.704660073527,9468.920754911764,9496.13684975,9523.35294458823,9550.569039426467,9577.785134264705,9605.001229102942,9632.217323941171,9659.433418779408,9686.649513617645,9713.865608455882,9741.08170329412,9768.29779813235,9795.513892970586,9822.729987808823,9849.94608264706
INCHEON,8461.925245897059,8489.141340735288,8516.357435573525,8543.573530411762,8570.78962525,8598.005720088237,8625.221814926466,8652.437909764703,8679.65400460294,8706.870099441177,8734.086194279407,8761.302289117644,8788.518383955881,8815.734478794118,8842.950573632348,8870.166668470585,8897.382763308822,8924.59885814706,8951.814952985289,8979.031047823526,9006.247142661763,9033.4632375,9060.67933233823,9087.895427176467,9115.111522014704,9142.327616852941,9169.543711691178,9196.759806529408,9223.975901367645,9251.191996205882,9278.408091044119,9305.624185882349,9332.840280720586,9360.056375558823,9387.27247039706,9414.48856523529,9441.704660073527,9468.920754911764,9496.13684975,9523.35294458823,9550.569039426467,9577.785134264705,9605.001229102942,9632.217323941171,9659.433418779408,9686.649513617645,9713.865608455882,9741.08170329412,9768.29779813235,9795.513892970586,9822.729987808823,9849.94608264706
GWANGJU,8461.925245897059,8489.141340735288,8516.357435573525,8543.573530411762,8570.78962525,8598.005720088237,8625.221814926466,8652.437909764703,8679.65400460294,8706.870099441177,8734.086194279407,8761.302289117644,8788.518383955881,8815.734478794118,8842.950573632348,8870.166668470585,8897.382763308822,8924.59885814706,8951.814952985289,8979.031047823526,9006.247142661763,9033.4632375,9060.67933233823,9087.895427176467,9115.111522014704,9142.327616852941,9169.543711691178,9196.759806529408,9223.975901367645,9251.191996205882,9278.408091044119,9305.624185882349,9332.840280720586,9360.056375558823,9387.27247039706,9414.48856523529,9441.704660073527,9468.920754911764,9496.13684975,9523.35294458823,9550.569039426467,9577.785134264705,9605.001229102942,9632.217323941171,9659.433418779408,9686.649513617645,9713.865608455882,9741.08170329412,9768.29779813235,9795.513892970586,9822.729987808823,9849.94608264706
DAEJEON,8461.925245897059,8489.141340735288,8516.357435573525,8543.573530411762,8570.78962525,8598.005720088237,8625.221814926466,8652.437909764703,8679.65400460294,8706.870099441177,8734.086194279407,8761.302289117644,8788.518383955881,8815.734478794118,8842.950573632348,8870.166668470585,8897.382763308822,8924.59885814706,8951.814952985289,8979.031047823526,9006.247142661763,9033.4632375,9060.67933233823,9087.895427176467,9115.111522014704,9142.327616852941,9169.543711691178,9196.759806529408,9223.975901367645,9251.191996205882,9278.408091044119,9305.624185882349,9332.840280720586,9360.056375558823,9387.27247039706,9414.48856523529,9441.704660073527,9468.920754911764,9496.13684975,9523.35294458823,9550.569039426467,9577.785134264705,9605.001229102942,9632.217323941171,9659.433418779408,9686.649513617645,9713.865608455882,9741.08170329412,9768.29779813235,9795.513892970586,9822.729987808823,9849.94608264706
ULSAN,8461.925245897059,8489.141340735288,8516.357435573525,8543.573530411762,8570.78962525,8598.005720088237,8625.221814926466,8652.437909764703,8679.65400460294,8706.870099441177,8734.086194279407,8761.302289117644,8788.518383955881,8815.734478794118,8842.950573632348,8870.166668470585,8897.382763308822,8924.59885814706,8951.814952985289,8979.031047823526,9006.247142661763,9033.4632375,9060.67933233823,9087.895427176467,9115.111522014704,9142.327616852941,9169.543711691178,9196.759806529408,9223.975901367645,9251.191996205882,9278.408091044119,9305.624185882349,9332.840280720586,9360.056375558823,9387.27247039706,9414.48856523529,9441.704660073527,9468.920754911764,9496.13684975,9523.35294458823,9550.569039426467,9577.785134264705,9605.001229102942,9632.217323941171,9659.433418779408,9686.649513617645,9713.865608455882,9741.08170329412,9768.29779813235,9795.513892970586,9822.729987808823,9849.94608264706
SEJONG,12669.569117647072,12863.67156862747,13057.774019607867,13251.876470588264,13445.978921568661,13640.081372549059,13834.183823529456,14028.286274509854,14222.388725490193,14416.49117647059,14610.593627450988,14804.696078431385,14998.798529411783,15192.90098039218,15387.003431372577,15581.105882352975,15775.208333333372,15969.31078431377,16163.413235294167,16357.515686274506,16551.618137254904,16745.7205882353,16939.8230392157,17133.925490196096,17328.027941176493,17522.13039215689,17716.232843137288,17910.335294117685,18104.437745098083,18298.54019607848,18492.64264705882,18686.745098039217,18880.847549019614,19074.95000000001,19269.05245098041,19463.154901960806,19657.257352941204,19851.3598039216,20045.462254902,20239.564705882396,20433.667156862793,20627.769607843133,20821.87205882353,21015.974509803928,21210.076960784325,21404.179411764722,21598.28186274512,21792.384313725517,21986.486764705915,22180.589215686312,22374.69166666671,22568.794117647107
GYEONGGI,12669.569117647072,12863.67156862747,13057.774019607867,13251.876470588264,13445.978921568661,13640.081372549059,13834.183823529456,14028.286274509854,14222.388725490193,14416.49117647059,14610.593627450988,14804.696078431385,14998.798529411783,15192.90098039218,15387.003431372577,15581.105882352975,15775.208333333372,15969.31078431377,16163.413235294167,16357.515686274506,16551.618137254904,16745.7205882353,16939.8230392157,17133.925490196096,17328.027941176493,17522.13039215689,17716.232843137288,17910.335294117685,18104.437745098083,18298.54019607848,18492.64264705882,18686.745098039217,18880.847549019614,19074.95000000001,19269.05245098041,19463.154901960806,19657.257352941204,19851.3598039216,20045.462254902,20239.564705882396,20433.667156862793,20627.769607843133,20821.87205882353,21015.974509803928,21210.076960784325,21404.179411764722,21598.28186274512,21792.384313725517,21986.486764705915,22180.589215686312,22374.69166666671,22568.794117647107
GANGWON,12669.569117647072,12863.67156862747,13057.774019607867,13251.876470588264,13445.978921568661,13640.081372549059,13834.183823529456,14028.286274509854,14222.388725490193,14416.49117647059,14610.593627450988,14804.696078431385,14998.798529411783,15192.90098039218,15387.003431372577,15581.105882352975,15775.208333333372,15969.31078431377,16163.413235294167,16357.515686274506,16551.618137254904,16745.7205882353,16939.8230392157,17133.925490196096,17328.027941176493,17522.13039215689,17716.232843137288,17910.335294117685,18104.437745098083,18298.54019607848,18492.64264705882,18686.745098039217,18880.847549019614,19074.95000000001,19269.05245098041,19463.154901960806,19657.257352941204,19851.3598039216,20045.462254902,20239.564705882396,20433.667156862793,20627.769607843133,20821.87205882353,21015.974509803928,21210.076960784325,21404.179411764722,21598.28186274512,21792.384313725517,21986.486764705915,22180.589215686312,22374.69166666671,22568.794117647107
CHUNGBUK,12669.569117647072,12863.67156862747,13057.774019607867,13251.876470588264,13445.978921568661,13640.081372549059,13834.183823529456,14028.286274509854,14222.388725490193,14416.49117647059,14610.593627450988,14804.696078431385,14998.798529411783,15192.90098039218,15387.003431372577,15581.105882352975,15775.208333333372,15969.31078431377,16163.413235294167,16357.515686274506,16551.618137254904,16745.7205882353,16939.8230392157,17133.925490196096,17328.027941176493,17522.13039215689,17716.232843137288,17910.335294117685,18104.437745098083,18298.54019607848,18492.64264705882,18686.745098039217,18880.847549019614,19074.95000000001,19269.05245098041,19463.154901960806,19657.257352941204,19851.3598039216,20045.462254902,20239.564705882396,20433.667156862793,20627.769607843133,20821.87205882353,21015.974509803928,21210.076960784325,21404.179411764722,21598.28186274512,21792.384313725517,21986.486764705915,22180.589215686312,22374.69166666671,22568.794117647107
CHUNGNAM,12669.569117647072,12863.67156862747,13057.774019607867,13251.876470588264,13445.978921568661,13640.081372549059,13834.183823529456,14028.286274509854,14222.388725490193,14416.49117647059,14610.593627450988,14804.696078431385,14998.798529411783,15192.90098039218,15387.003431372577,15581.105882352975,15775.208333333372,15969.31078431377,16163.413235294167,16357.515686274506,16551.618137254904,16745.7205882353,16939.8230392157,17133.925490196096,17328.027941176493,17522.13039215689,17716.232843137288,17910.335294117685,18104.437745098083,18298.54019607848,18492.64264705882,18686.745098039217,18880.847549019614,19074.95000000001,19269.05245098041,19463.154901960806,19657.257352941204,19851.3598039216,20045.462254902,20239.564705882396,20433.667156862793,20627.769607843133,20821.87205882353,21015.974509803928,21210.076960784325,21404.179411764722,21598.28186274512,21792.384313725517,21986.486764705915,22180.589215686312,22374.69166666671,22568.794117647107
JEONBUK,12669.569117647072,12863.67156862747,13057.774019607867,13251.876470588264,13445.978921568661,13640.081372549059,13834.183823529456,14028.286274509854,14222.388725490193,14416.49117647059,14610.593627450988,14804.696078431385,14998.798529411783,15192.90098039218,15387.003431372577,15581.105882352975,15775.208333333372,15969.31078431377,16163.413235294167,16357.515686274506,16551.618137254904,16745.7205882353,16939.8230392157,17133.925490196096,17328.027941176493,17522.13039215689,17716.232843137288,17910.335294117685,18104.437745098083,18298.54019607848,18492.64264705882,18686.745098039217,18880.847549019614,19074.95000000001,19269.05245098041,19463.154901960806,19657.257352941204,19851.3598039216,20045.462254902,20239.564705882396,20433.667156862793,20627.769607843133,20821.87205882353,21015.974509803928,21210.076960784325,21404.179411764722,21598.28186274512,21792.384313725517,21986.486764705915,22180.589215686312,22374.69166666671,22568.794117647107
JEONNAM,12669.569117647072,12863.67156862747,13057.774019607867,13251.876470588264,13445.978921568661,13640.081372549059,13834.183823529456,14028.286274509854,14222.388725490193,14416.49117647059,14610.593627450988,14804.696078431385,14998.798529411783,15192.90098039218,15387.003431372577,15581.105882352975,15775.208333333372,15969.31078431377,16163.413235294167,16357.515686274506,16551.618137254904,16745.7205882353,16939.8230392157,17133.925490196096,17328.027941176493,17522.13039215689,17716.232843137288,17910.335294117685,18104.437745098083,18298.54019607848,18492.64264705882,18686.745098039217,18880.847549019614,19074.95000000001,19269.05245098041,19463.154901960806,19657.257352941204,19851.3598039216,20045.462254902,20239.564705882396,20433.667156862793,20627.769607843133,20821.87205882353,21015.974509803928,21210.076960784325,21404.179411764722,21598.28186274512,21792.384313725517,21986.486764705915,22180.589215686312,22374.69166666671,22568.794117647107
GYEONGBUK,12669.569117647072,12863.67156862747,13057.774019607867,13251.876470588264,13445.978921568661,13640.081372549059,13834.183823529456,14028.286274509854,14222.388725490193,14416.49117647059,14610.593627450988,14804.696078431385,14998.798529411783,15192.90098039218,15387.003431372577,15581.105882352975,15775.208333333372,15969.31078431377,16163.413235294167,16357.515686274506,16551.618137254904,16745.7205882353,16939.8230392157,17133.925490196096,17328.027941176493,17522.13039215689,17716.232843137288,17910.335294117685,18104.437745098083,18298.54019607848,18492.64264705882,18686.745098039217,18880.847549019614,19074.95000000001,19269.05245098041,19463.154901960806,19657.257352941204,19851.3598039216,20045.462254902,20239.564705882396,20433.667156862793,20627.769607843133,20821.87205882353,21015.974509803928,21210.076960784325,21404.179411764722,21598.28186274512,21792.384313725517,21986.486764705915,22180.589215686312,22374.69166666671,22568.794117647107
GYEONGNAM,12669.569117647072,12863.67156862747,13057.774019607867,13251.876470588264,13445.978921568661,13640.081372549059,13834.183823529456,14028.286274509854,14222.388725490193,14416.49117647059,14610.593627450988,14804.696078431385,14998.798529411783,15192.90098039218,15387.003431372577,15581.105882352975,15775.208333333372,15969.31078431377,16163.413235294167,16357.515686274506,16551.618137254904,16745.7205882353,16939.8230392157,17133.925490196096,17328.027941176493,17522.13039215689,17716.232843137288,17910.335294117685,18104.437745098083,18298.54019607848,18492.64264705882,18686.745098039217,18880.847549019614,19074.95000000001,19269.05245098041,19463.154901960806,19657.257352941204,19851.3598039216,20045.462254902,20239.564705882396,20433.667156862793,20627.769607843133,20821.87205882353,21015.974509803928,21210.076960784325,21404.179411764722,21598.28186274512,21792.384313725517,21986.486764705915,22180.589215686312,22374.69166666671,22568.794117647107
JEJU,12669.569117647072,12863.67156862747,13057.774019607867,13251.876470588264,13445.978921568661,13640.081372549059,13834.183823529456,14028.286274509854,14222.388725490193,14416.49117647059,14610.593627450988,14804.696078431385,14998.798529411783,15192.90098039218,15387.003431372577,15581.105882352975,15775.208333333372,15969.31078431377,16163.413235294167,16357.515686274506,16551.618137254904,16745.7205882353,16939.8230392157,17133.925490196096,17328.027941176493,17522.13039215689,17716.232843137288,17910.335294117685,18104.437745098083,18298.54019607848,18492.64264705882,18686.745098039217,18880.847549019614,19074.95000000001,19269.05245098041,19463.154901960806,19657.257352941204,19851.3598039216,20045.462254902,20239.564705882396,20433.667156862793,20627.769607843133,20821.87205882353,21015.974509803928,21210.076960784325,21404.179411764722,21598.28186274512,21792.384313725517,21986.486764705915,22180.589215686312,22374.69166666671,22568.794117647107
