Region,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075
SEOUL,34614.47794117592,31963.622549018823,29312.767156861722,26661.911764705554,24011.056372548454,21360.200980391353,18709.345588234253,16058.490196078084,13407.634803920984,10756.779411763884,8105.924019606784,5455.068627450615,2804.213235293515,153.35784313641489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUSAN,10215.801470587961,9489.955882352777,8764.11029411736,8038.264705882175,7312.4191176467575,6586.573529411573,5860.727941176156,5134.882352940971,4409.0367647057865,3683.191176470369,2957.3455882351846,2231.499999999767,1505.6544117645826,779.8088235291652,53.96323529398069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAEGU,7521.279411764699,7071.990196078434,6622.700980392168,6173.411764705903,5724.1225490196375,5274.833333333256,4825.54411764699,4376.254901960725,3926.9656862744596,3477.676470588194,3028.387254901929,2579.0980392156634,2129.808823529398,1680.5196078431327,1231.2303921568673,781.9411764706019,332.65196078433655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INCHEON,11030.485294117592,10534.79411764699,10039.102941176388,9543.411764705903,9047.720588235301,8552.029411764699,8056.338235294097,7560.647058823495,7064.955882352893,6569.264705882291,6073.573529411689,5577.882352941087,5082.191176470602,4586.5,4090.808823529398,3595.117647058796,3099.426470588194,2603.7352941175923,2108.0441176469903,1612.3529411763884,1116.661764705903,620.970588235301,125.27941176469903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GWANGJU,4918.066176470602,4650.3088235295145,4382.551470588311,4114.794117647107,3847.036764705903,3579.2794117648154,3311.5220588236116,3043.7647058824077,2776.007352941204,2508.25,2240.4926470589126,1972.7352941177087,1704.9779411765048,1437.220588235301,1169.4632352942135,901.7058823530097,633.9485294118058,366.19117647060193,98.43382352951448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAEJEON,5294.051470588311,4988.789215686265,4683.526960784337,4378.264705882408,4073.0024509803625,3767.7401960784337,3462.477941176505,3157.215686274576,2851.9534313725308,2546.691176470602,2241.428921568673,1936.1666666667443,1630.904411764699,1325.6421568627702,1020.3799019608414,715.1176470587961,409.8553921568673,104.59313725493848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ULSAN,4183.294117647107,3923.1960784314433,3663.0980392156634,3403.0,3142.9019607843366,2882.803921568673,2622.7058823530097,2362.60784313723,2102.5098039215663,1842.411764705903,1582.3137254902394,1322.215686274576,1062.1176470587961,802.0196078431327,541.9215686274692,281.8235294118058,21.725490196142346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEJONG,2150.3308823529514,2249.583333333343,2348.8357843137346,2448.088235294126,2547.340686274518,2646.5931372549094,2745.845588235301,2845.0980392156926,2944.350490196084,3043.6029411764757,3142.8553921568673,3242.107843137259,3341.3602941176505,3440.612745098042,3539.8651960784337,3639.1176470588252,3738.370098039217,3837.6225490196084,3936.875,4036.1274509803916,4135.379901960783,4234.632352941175,4333.884803921566,4433.137254901958,4532.3897058823495,4631.642156862741,4730.894607843133,4830.147058823524,4929.399509803916,5028.651960784307,5127.904411764699,5227.156862745091,5326.409313725482,5425.661764705874,5524.914215686265,5624.166666666657,5723.419117647049,5822.67156862744,5921.924019607832,6021.176470588223,6120.428921568615,6219.6813725490065,6318.933823529398,6418.18627450979,6517.438725490181,6616.691176470573,6715.943627450964,6815.196078431356,6914.448529411748,7013.700980392168,7112.95343137256,7212.205882352951
GYEONGGI,53432.02205882408,51642.102941176854,49852.18382352963,48062.26470588287,46272.34558823565,44482.42647058843,42692.50735294167,40902.588235294446,39112.66911764722,37322.750000000466,35532.83088235324,33742.91176470602,31952.99264705926,30163.07352941204,28373.154411764815,26583.235294118058,24793.316176470835,23003.397058824077,21213.477941176854,19423.55882352963,17633.639705882873,15843.72058823565,14053.801470588427,12263.88235294167,10473.963235294446,8684.044117647223,6894.125000000466,5104.2058823532425,3314.2867647060193,1524.3676470592618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GANGWON,5442.867647058854,5229.7352941176505,5016.602941176505,4803.470588235301,4590.338235294155,4377.205882352951,4164.073529411806,3950.941176470602,3737.808823529398,3524.6764705882524,3311.5441176470486,3098.411764705903,2885.279411764699,2672.1470588235534,2459.0147058823495,2245.882352941204,2032.75,1819.6176470588543,1606.4852941176505,1393.3529411765048,1180.220588235301,967.0882352941553,753.9558823529514,540.8235294118058,327.69117647060193,114.55882352939807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHUNGBUK,6031.617647058796,5791.313725490181,5551.009803921566,5310.705882352951,5070.401960784278,4830.098039215663,4589.794117647049,4349.490196078434,4109.186274509761,3868.8823529411457,3628.5784313725308,3388.274509803916,3147.970588235301,2907.666666666628,2667.362745098013,2427.058823529398,2186.754901960783,1946.4509803921683,1706.1470588234952,1465.8431372548803,1225.5392156862654,985.2352941176505,744.9313725489774,504.6274509803625,264.3235294117476,24.01960784313269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHUNGNAM,7880.426470588194,7499.362745097955,7118.299019607832,6737.235294117592,6356.171568627469,5975.10784313723,5594.04411764699,5212.980392156867,4831.916666666628,4450.852941176388,4069.7892156862654,3688.725490196026,3307.661764705903,2926.5980392156634,2545.534313725424,2164.470588235301,1783.4068627450615,1402.343137254822,1021.279411764699,640.2156862744596,259.15196078433655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JEONBUK,5001.463235294097,4626.632352941087,4251.801470588194,3876.970588235301,3502.1397058822913,3127.308823529398,2752.4779411763884,2377.647058823495,2002.816176470602,1627.9852941175923,1253.154411764699,878.3235294116894,503.49264705879614,128.6617647059029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JEONNAM,5693.794117647107,5365.176470588194,5036.558823529398,4707.941176470602,4379.323529411806,4050.7058823528932,3722.088235294097,3393.470588235301,3064.852941176505,2736.2352941177087,2407.617647058796,2079.0,1750.3823529412039,1421.7647058824077,1093.1470588234952,764.529411764699,435.9117647059029,107.29411764710676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GYEONGBUK,7795.073529411573,7230.186274509644,6665.299019607715,6100.4117647057865,5535.524509803858,4970.637254901929,4405.749999999767,3840.8627450978383,3275.9754901959095,2711.0882352939807,2146.200980392052,1581.313725490123,1016.4264705881942,451.5392156862654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GYEONGNAM,9936.41911764699,9164.799019607715,8393.17892156844,7621.558823529398,6849.938725490123,6078.318627450848,5306.698529411573,4535.078431372531,3763.4583333332557,2991.8382352939807,2220.2181372547057,1448.5980392156634,676.9779411763884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JEJU,2940.2573529411748,2894.181372549021,2848.1053921568673,2802.0294117647136,2755.9534313725453,2709.8774509803916,2663.801470588238,2617.725490196084,2571.649509803916,2525.573529411762,2479.4975490196084,2433.4215686274547,2387.345588235301,2341.2696078431327,2295.193627450979,2249.1176470588252,2203.0416666666715,2156.965686274518,2110.8897058823495,2064.813725490196,2018.737745098042,1972.6617647058883,1926.58578431372,1880.5098039215663,1834.4338235294126,1788.357843137259,1742.2818627451052,1696.205882352937,1650.1299019607832,1604.0539215686294,1557.9779411764757,1511.9019607843074,1465.8259803921537,1419.75,1373.6740196078463,1327.5980392156926,1281.5220588235243,1235.4460784313706,1189.3700980392168,1143.294117647063,1097.2181372549094,1051.142156862741,1005.0661764705874,958.9901960784337,912.9142156862799,866.8382352941117,820.7622549019579,774.6862745098042,728.6102941176505,682.5343137254968,636.4583333333285,590.3823529411748
Other,2826.8382352939807,2432.5196078430163,2038.2009803920519,1643.8823529410874,1249.563725490123,855.2450980391586,460.9264705880778,66.60784313711338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
